ibge,city,state,region,pop2019,pop2020,pop2021,isCountryside,cod_RegiaoDeSaude,name_RegiaoDeSaude,ibge_id
2616209,Vertentes/PE,PE,Nordeste,20731,20954,21172,1,26003,Caruaru,2616209
2616308,Vicência/PE,PE,Nordeste,32643,32772,32897,1,26006,Limoeiro,2616308
2616407,Vitória de Santo Antão/PE,PE,Nordeste,138757,139583,140389,1,26010,Recife,2616407
2616506,Xexéu/PE,PE,Nordeste,14725,14757,14789,1,26008,Palmares,2616506
3200102,Afonso Cláudio/ES,ES,Sudeste,30586,30455,30326,1,32002,Metropolitana,3200102
3200136,Águia Branca/ES,ES,Sudeste,9642,9631,9621,1,32001,Central,3200136
3200169,Água Doce do Norte/ES,ES,Sudeste,11019,10909,10801,1,32003,Norte,3200169
3200201,Alegre/ES,ES,Sudeste,30084,29975,29869,1,32004,Sul,3200201
3200300,Alfredo Chaves/ES,ES,Sudeste,14601,14636,14670,1,32004,Sul,3200300
3200359,Alto Rio Novo/ES,ES,Sudeste,7836,7874,7911,1,32001,Central,3200359
3200409,Anchieta/ES,ES,Sudeste,29263,29779,30285,1,32004,Sul,3200409
3200508,Apiacá/ES,ES,Sudeste,7567,7554,7542,1,32004,Sul,3200508
3200607,Aracruz/ES,ES,Sudeste,101220,103101,104942,1,32001,Central,3200607
3200706,Atilio Vivacqua/ES,ES,Sudeste,11936,12105,12270,1,32004,Sul,3200706
3200805,Baixo Guandu/ES,ES,Sudeste,30998,31132,31263,1,32001,Central,3200805
3200904,Barra de São Francisco/ES,ES,Sudeste,44650,44979,45301,1,32003,Norte,3200904
3201001,Boa Esperança/ES,ES,Sudeste,15037,15092,15146,1,32003,Norte,3201001
3201100,Bom Jesus do Norte/ES,ES,Sudeste,9936,9962,9988,1,32004,Sul,3201100
3201159,Brejetuba/ES,ES,Sudeste,12404,12427,12450,1,32002,Metropolitana,3201159
3201209,Cachoeiro de Itapemirim/ES,ES,Sudeste,208972,210589,212172,1,32004,Sul,3201209
3201308,Cariacica/ES,ES,Sudeste,381285,383917,386495,0,32002,Metropolitana,3201308
3201407,Castelo/ES,ES,Sudeste,37534,37747,37956,1,32004,Sul,3201407
3201506,Colatina/ES,ES,Sudeste,122499,123400,124283,1,32001,Central,3201506
3201605,Conceição da Barra/ES,ES,Sudeste,31063,31273,31479,1,32003,Norte,3201605
3201704,Conceição do Castelo/ES,ES,Sudeste,12723,12806,12887,1,32002,Metropolitana,3201704
3201803,Divino de São Lourenço/ES,ES,Sudeste,4304,4270,4236,1,32004,Sul,3201803
3201902,Domingos Martins/ES,ES,Sudeste,33850,33986,34120,1,32002,Metropolitana,3201902
3202009,Dores do Rio Preto/ES,ES,Sudeste,6749,6771,6793,1,32004,Sul,3202009
3202108,Ecoporanga/ES,ES,Sudeste,22923,22835,22748,1,32003,Norte,3202108
3202207,Fundão/ES,ES,Sudeste,21509,21948,22379,0,32002,Metropolitana,3202207
3202256,Governador Lindenberg/ES,ES,Sudeste,12709,12880,13047,1,32001,Central,3202256
3202306,Guaçuí/ES,ES,Sudeste,30867,31122,31372,1,32004,Sul,3202306
3202405,Guarapari/ES,ES,Sudeste,124859,126701,128504,0,32002,Metropolitana,3202405
3202454,Ibatiba/ES,ES,Sudeste,26082,26426,26762,1,32002,Metropolitana,3202454
3202504,Ibiraçu/ES,ES,Sudeste,12479,12591,12701,1,32001,Central,3202504
