type,name,lat,lon,total,total_per_100k_inhabitants
D1,Amaralina/GO,-13.9236199,-49.2962411,2,51.61290
1,Amarante do Maranhão/MA,-5.56913,-46.747284,1767,4205.44065
D1,Amarante do Maranhão/MA,-5.56913,-46.747284,58,138.03937
1,Amarante/PI,-6.2459374,-42.8476238,1598,9074.90488
D1,Amarante/PI,-6.2459374,-42.8476238,35,198.76200
1,Amargosa/BA,-13.03793715,-39.60796443875596,3316,8811.88382
D1,Amargosa/BA,-13.03793715,-39.60796443875596,57,151.47086
1,Amaturá/AM,-3.3640509,-68.1994689,2413,20219.54081
D1,Amaturá/AM,-3.3640509,-68.1994689,18,150.82956
1,Americana/SP,-22.7392463,-47.3306032,27303,11172.81172
D1,Americana/SP,-22.7392463,-47.3306032,858,351.10693
1,Americano do Brasil/GO,-16.2515808,-49.9806104,913,14678.45659
D1,Americano do Brasil/GO,-16.2515808,-49.9806104,25,401.92926
1,Ametista do Sul/RS,-27.3617341,-53.1826575,1072,14494.32125
D1,Ametista do Sul/RS,-27.3617341,-53.1826575,26,351.54137
1,Amontada/CE,-3.3634586,-39.8284791,3044,6887.65697
D1,Amontada/CE,-3.3634586,-39.8284791,58,131.23657
1,Amorinópolis/GO,-16.6211308,-51.0949921,412,13683.16174
D1,Amorinópolis/GO,-16.6211308,-51.0949921,11,365.32713
1,Amparo de São Francisco/SE,-10.1299754,-36.9269099,256,10729.25398
D1,Amparo de São Francisco/SE,-10.1299754,-36.9269099,5,209.55574
1,Amparo do Serra/MG,-20.5070255,-42.8028462,183,3941.41719
D1,Amparo do Serra/MG,-20.5070255,-42.8028462,8,172.30239
1,Amparo/PB,-7.56394725,-37.04652873235175,190,8392.22615
D1,Amparo/PB,-7.56394725,-37.04652873235175,4,176.67845
1,Amparo/SP,-22.70111,-46.76444,8390,11470.36708
D1,Amparo/SP,-22.70111,-46.76444,223,304.87388
1,Ampére/PR,-25.9168712,-53.4742414,3053,15683.75629
D1,Ampére/PR,-25.9168712,-53.4742414,60,308.22973
1,Amélia Rodrigues/BA,-12.4015388,-38.7516971,2469,9877.18526
D1,Amélia Rodrigues/BA,-12.4015388,-38.7516971,52,208.02496
1,América Dourada/BA,-11.4515262,-41.4357517,973,6048.73803
D1,América Dourada/BA,-11.4515262,-41.4357517,13,80.81562
1,Américo Brasiliense/SP,-21.7297099,-48.1052092,4382,10547.59899
D1,Américo Brasiliense/SP,-21.7297099,-48.1052092,99,238.29582
1,Américo de Campos/SP,-20.298476,-49.735904,1172,19556.14884
D1,Américo de Campos/SP,-20.298476,-49.735904,35,584.01468
1,Anadia/AL,-9.6830208,-36.3052699,1529,8733.64940
