date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS
2020-03-20,Brazil,TO,TOTAL,0,0,0,1,0,1
2020-03-20,Brazil,TOTAL,TOTAL,4,11,333,972,11,904
2020-03-21,Brazil,AC,TOTAL,0,0,4,11,0,9
2020-03-21,Brazil,AL,TOTAL,0,0,1,7,0,7
2020-03-21,Brazil,AM,TOTAL,0,0,4,11,0,11
2020-03-21,Brazil,AP,TOTAL,0,0,0,1,0,1
2020-03-21,Brazil,BA,TOTAL,0,0,7,41,0,41
2020-03-21,Brazil,CE,TOTAL,0,0,16,84,0,68
2020-03-21,Brazil,DF,TOTAL,0,0,21,108,0,100
2020-03-21,Brazil,ES,TOTAL,0,0,10,26,0,26
2020-03-21,Brazil,GO,TOTAL,0,0,2,20,0,20
2020-03-21,Brazil,MA,TOTAL,0,0,1,2,0,1
2020-03-21,Brazil,MG,TOTAL,0,0,16,54,0,38
2020-03-21,Brazil,MS,TOTAL,0,0,4,16,0,16
2020-03-21,Brazil,MT,TOTAL,0,0,1,2,0,2
2020-03-21,Brazil,PA,TOTAL,0,0,0,2,0,2
2020-03-21,Brazil,PB,TOTAL,0,0,0,1,0,1
2020-03-21,Brazil,PE,TOTAL,0,0,3,33,0,30
2020-03-21,Brazil,PI,TOTAL,0,0,0,4,0,4
2020-03-21,Brazil,PR,TOTAL,0,0,7,44,0,43
2020-03-21,Brazil,RJ,TOTAL,1,3,10,119,3,119
2020-03-21,Brazil,RN,TOTAL,0,0,3,9,0,6
2020-03-21,Brazil,RO,TOTAL,0,0,2,3,0,1
2020-03-21,Brazil,RR,TOTAL,0,0,2,2,0,0
2020-03-21,Brazil,RS,TOTAL,0,0,26,69,0,60
2020-03-21,Brazil,SC,TOTAL,0,0,18,57,0,51
2020-03-21,Brazil,SE,TOTAL,0,0,3,10,0,10
2020-03-21,Brazil,SP,TOTAL,6,15,63,459,15,459
2020-03-21,Brazil,TO,TOTAL,0,0,1,2,0,2
2020-03-21,Brazil,TOTAL,TOTAL,7,18,225,1197,18,1128
2020-03-22,Brazil,AC,TOTAL,0,0,0,11,0,11
2020-03-22,Brazil,AL,TOTAL,0,0,0,7,0,7
2020-03-22,Brazil,AM,TOTAL,0,0,15,26,0,26
2020-03-22,Brazil,AP,TOTAL,0,0,0,1,0,1
2020-03-22,Brazil,BA,TOTAL,0,0,14,55,0,49
2020-03-22,Brazil,CE,TOTAL,0,0,41,125,0,112
2020-03-22,Brazil,DF,TOTAL,0,0,9,117,0,117
2020-03-22,Brazil,ES,TOTAL,0,0,0,26,0,26
2020-03-22,Brazil,GO,TOTAL,0,0,1,21,0,21
2020-03-22,Brazil,MA,TOTAL,0,0,0,2,0,2
2020-03-22,Brazil,MG,TOTAL,0,0,29,83,0,83
2020-03-22,Brazil,MS,TOTAL,0,0,5,21,0,21
2020-03-22,Brazil,MT,TOTAL,0,0,0,2,0,2
2020-03-22,Brazil,PA,TOTAL,0,0,2,4,0,4
2020-03-22,Brazil,PB,TOTAL,0,0,0,1,0,1
2020-03-22,Brazil,PE,TOTAL,0,0,4,37,0,37
2020-03-22,Brazil,PI,TOTAL,0,0,2,6,0,4
2020-03-22,Brazil,PR,TOTAL,0,0,10,54,0,50
2020-03-22,Brazil,RJ,TOTAL,0,3,67,186,3,186
2020-03-22,Brazil,RN,TOTAL,0,0,4,13,0,9
2020-03-22,Brazil,RO,TOTAL,0,0,0,3,0,3
2020-03-22,Brazil,RR,TOTAL,0,0,0,2,0,2
2020-03-22,Brazil,RS,TOTAL,0,0,8,77,0,72
2020-03-22,Brazil,SC,TOTAL,0,0,11,68,0,57
